City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Elizabeth,ZA,22.28,broken clouds,-33.918,25.5701,39 On Nile Guest House
4,Rikitea,PF,25.14,scattered clouds,-23.1203,-134.9692,People ThankYou
5,Bambous Virieux,MU,25.68,broken clouds,-20.3428,57.7575,Casa Tia Villa
6,Kavieng,PG,27.63,light rain,-2.5744,150.7967,Nusa Island Retreat
7,Lazaro Cardenas,MX,27.96,few clouds,17.9583,-102.2,quinta antigua
8,Samarai,PG,27.72,broken clouds,-10.6167,150.6667,Nuli Sapi
14,Samarinda,ID,21.78,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
18,Souillac,MU,25.76,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
22,Butaritari,KI,27.99,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
28,Atuona,PF,25.93,light rain,-9.8,-139.0333,Villa Enata
32,Mangai,CD,21.07,moderate rain,-4.05,19.5333,
33,Alofi,NU,28.94,scattered clouds,-19.0595,-169.9187,Taloa Heights
34,Acapulco,MX,28.9,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
35,Saint-Louis,SN,24.8,broken clouds,16.3333,-15.0,
39,Qui Nhon,VN,21.55,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
40,Bowen,AU,29.2,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
45,Grand-Santi,GF,23.59,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
50,Flinders,AU,26.56,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
54,Puerto Ayora,EC,28.98,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Vaini,TO,26.73,scattered clouds,-21.2,-175.2,Keleti Beach Resort
58,Cayenne,GF,27.02,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
59,Mitu,CO,26.4,broken clouds,1.1983,-70.1733,
61,Kaeo,NZ,26.29,clear sky,-35.1,173.7833,Bushido Lodge
62,Bengkulu,ID,23.77,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Avarua,CK,29.03,broken clouds,-21.2078,-159.775,Paradise Inn
66,Iracoubo,GF,24.82,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
70,Harper,LR,26.33,clear sky,4.375,-7.7169,Screensaver
77,Biak,ID,24.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
78,Kapaa,US,26.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Vanimo,PG,25.71,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
89,Faanui,PF,26.99,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
90,Emerald,AU,29.08,few clouds,-23.5333,148.1667,The Irish Village
91,Saint-Philippe,RE,25.77,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Palembang,ID,25.05,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
95,Luanda,AO,23.9,few clouds,-8.8368,13.2343,Hotel Fórum
97,Sal Rei,CV,21.31,clear sky,16.1833,-22.9167,Marine Club Beach Resort
98,Broken Hill,AU,24.35,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
102,Makakilo City,US,26.18,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
105,Kanel,SN,28.0,clear sky,15.4916,-13.1763,
107,Tuatapere,NZ,20.33,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
108,Touros,BR,27.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
110,Payakumbuh,ID,20.82,overcast clouds,-0.2202,100.6308,Dalimo Homestay
111,Hithadhoo,MV,26.8,light rain,-0.6,73.0833,Scoop Guest House
114,Cape Town,ZA,20.06,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
115,Kavaratti,IN,26.16,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
116,Lompoc,US,22.05,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
121,Okato,NZ,22.46,clear sky,-39.2,173.8833,Goodin Country Garden
124,Hilo,US,27.36,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
125,Mathathane,BW,24.92,overcast clouds,-22.2687,28.7495,Selepswe Resort
126,Santo Domingo,DO,27.8,few clouds,18.5001,-69.9886,Cabañas City Heart
129,Panzos,GT,29.51,overcast clouds,15.4,-89.6667,Hotel Noemi
130,Hobart,AU,22.84,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
132,Port Alfred,ZA,22.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
134,Paita,PE,25.31,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
135,Angoche,MZ,24.78,overcast clouds,-16.2325,39.9086,Guest House HESADA
136,Bontang,ID,24.17,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
140,Ambon,ID,25.08,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
142,Isangel,VU,27.24,clear sky,-19.55,169.2667,Tanna Lodge
143,Sao Gabriel Da Cachoeira,BR,25.13,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
145,Batemans Bay,AU,27.33,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
147,High Rock,BS,20.01,light rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
149,Mont-Dore,NC,27.99,clear sky,-22.2833,166.5833,GIte
155,Tautira,PF,29.01,light rain,-17.7333,-149.15,Pension Oaoa
158,Kaitangata,NZ,20.36,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
159,Bumba,CD,21.71,overcast clouds,2.1833,22.4667,Père Carlos
160,Maua,BR,21.31,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
161,New Norfolk,AU,22.64,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
164,Mahebourg,MU,25.7,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
166,Kalmunai,LK,24.72,scattered clouds,7.4167,81.8167,VS Villa
167,Kruisfontein,ZA,21.05,clear sky,-34.0033,24.7314,Oyster Bay House Rental
169,Daru,PG,26.13,overcast clouds,-9.0763,143.2092,Daru Lodge
170,Praia,CV,21.3,few clouds,14.9215,-23.5087,LT Aparthotel
171,Carutapera,BR,25.06,broken clouds,-1.195,-46.02,Lidera
174,La Palma,US,26.06,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
175,Cidreira,BR,25.06,very heavy rain,-30.1811,-50.2056,Hotel Castelo
181,De Aar,ZA,23.03,broken clouds,-30.6497,24.0123,Nyibiba Guesthouse
183,Carnarvon,AU,22.04,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
184,Boma,GH,23.16,broken clouds,7.0805,-2.1697,Obaatanpa Hotel
185,Kankan,GN,26.38,overcast clouds,10.3854,-9.3057,Hotel Bate
186,Georgetown,MY,26.61,few clouds,5.4112,100.3354,Cititel Penang
191,Celestun,MX,22.22,few clouds,20.8667,-90.4,Posada Lilia
192,Luwuk,ID,25.31,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
193,Tual,ID,25.51,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
196,Pisco,PE,24.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
197,Jacareacanga,BR,24.45,broken clouds,-6.2222,-57.7528,Casa do Ian😎
200,Pontes E Lacerda,BR,28.41,broken clouds,-15.2261,-59.3353,Hotel Bressan
202,Mar Del Plata,AR,25.01,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
206,Rio Grande,BR,24.41,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
207,Karratha,AU,26.63,few clouds,-20.7377,116.8463,ibis Styles Karratha
208,Kismayo,SO,25.4,broken clouds,-0.3582,42.5454,Agan-Hotel
212,San Patricio,US,20.99,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
213,San Cristobal,VE,24.1,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
219,Bull Savanna,JM,25.24,clear sky,17.8868,-77.5902,Big Red's
226,Morro Bay,US,22.5,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
227,Ahipara,NZ,22.41,clear sky,-35.1667,173.1667,Ahipara Holiday Park
230,Port-Gentil,GA,25.74,overcast clouds,-0.7193,8.7815,Fengshui Residence
233,Sechura,PE,26.07,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
238,Sassandra,CI,25.86,broken clouds,4.95,-6.0833,la terrasse
239,Vao,NC,24.48,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
241,Buala,SB,28.18,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
244,Ouegoa,NC,27.55,broken clouds,-20.35,164.4333,
246,Cururupu,BR,24.34,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
252,Soc Trang,VN,21.98,scattered clouds,9.6033,105.98,Phu Quy Hotel
259,East London,ZA,23.93,scattered clouds,-33.0153,27.9116,Tu Casa
260,Lorengau,PG,27.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
262,Iraucuba,BR,26.09,overcast clouds,-3.7461,-39.7833,Hotel Terra da Amizade
264,Arraial Do Cabo,BR,24.98,clear sky,-22.9661,-42.0278,Pousada Porto Praia
270,Vila Velha,BR,26.08,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
272,Salalah,OM,22.05,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
274,Gamba,GA,24.13,overcast clouds,-2.65,10.0,
277,Kudahuvadhoo,MV,27.27,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
279,Senador Guiomard,BR,29.86,scattered clouds,-10.1522,-67.7392,Paraíso Hotel
282,Cabo San Lucas,MX,28.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
284,Half Moon Bay,US,20.85,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
291,Grand Gaube,MU,25.77,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
295,Sierra Vista,US,20.52,clear sky,31.5545,-110.3037,Gateway Studio Suites
296,Paracuru,BR,26.01,few clouds,-3.41,-39.0306,Hotel Vento Brasil
297,Buchanan,LR,25.98,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
304,Alta Floresta,BR,22.8,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
309,Huarmey,PE,23.4,broken clouds,-10.0681,-78.1522,Hotel Miramar
310,Lampa,CL,21.64,few clouds,-33.2833,-70.9,El sueño de Lampa I y II
313,Cabedelo,BR,27.37,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
316,Dunedin,NZ,20.45,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
318,Sao Joao Da Barra,BR,24.41,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
323,Wahiawa,US,25.44,few clouds,21.5028,-158.0236,Aloha Wahiawa
325,Caravelas,BR,25.01,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
328,Mulanje,MW,20.32,overcast clouds,-16.0316,35.5,Mulanje Motel
331,Maracacume,BR,23.28,overcast clouds,-2.0428,-45.9592,Hotel Ramos
333,Sao Filipe,CV,21.95,clear sky,14.8961,-24.4956,Hotel Xaguate
339,Kahului,US,29.59,few clouds,20.8947,-156.47,Maui Seaside Hotel
344,Cairns,AU,29.5,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
345,Isla Vista,US,22.41,overcast clouds,34.4133,-119.861,Best Western Plus South Coast Inn
347,Praya,CV,21.3,few clouds,14.9215,-23.5087,LT Aparthotel
350,Kloulklubed,PW,26.28,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
355,Road Town,VG,27.05,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
358,Alyangula,AU,28.93,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
359,Kattivakkam,IN,27.26,overcast clouds,13.2167,80.3167,Euronova Freezer
360,Rabaul,PG,27.75,overcast clouds,-4.1967,152.1721,Rabaul Hotel
366,Ikwiriri,TZ,23.87,overcast clouds,-7.9562,38.9716,Greenland lodge
369,Sola,VU,28.04,scattered clouds,-13.8833,167.55,Leumerus Bungalows
371,Sabang,ID,27.47,broken clouds,5.8933,95.3214,Hotel Citra
375,Kulhudhuffushi,MV,27.18,scattered clouds,6.6221,73.07,Haajy Guest House 1
378,Tiarei,PF,29.01,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
381,San-Pedro,CI,26.08,few clouds,4.7485,-6.6363,Hotel Maria
386,Quelimane,MZ,25.97,scattered clouds,-17.8786,36.8883,Hotel Flamingo
