,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Haines Junction,CA,60.7522,-137.5108,-4.03,93,100,0.51,overcast clouds
1,Port Elizabeth,ZA,-33.918,25.5701,22.28,78,75,7.2,broken clouds
2,Tasiilaq,GL,65.6145,-37.6368,-7.91,94,100,5.71,snow
3,Bluff,NZ,-46.6,168.3333,15.7,70,99,3.83,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,25.14,69,35,3.35,scattered clouds
5,Bambous Virieux,MU,-20.3428,57.7575,25.68,88,75,0.51,broken clouds
6,Kavieng,PG,-2.5744,150.7967,27.63,77,97,1.27,light rain
7,Lazaro Cardenas,MX,17.9583,-102.2,27.96,64,11,4.28,few clouds
8,Samarai,PG,-10.6167,150.6667,27.72,76,70,3.88,broken clouds
9,Havre-Saint-Pierre,CA,50.2334,-63.5986,-8.67,72,100,6.17,overcast clouds
10,Coahuayana,MX,18.7333,-103.6833,30.71,61,57,3.11,broken clouds
11,Husavik,IS,66.0449,-17.3389,-6.05,93,100,4.41,snow
12,Punta Arenas,CL,-53.15,-70.9167,9.06,46,0,9.26,clear sky
13,Victoria,HK,22.2855,114.1577,18.03,83,76,0.89,broken clouds
14,Samarinda,ID,-0.5,117.15,21.78,98,100,1.03,overcast clouds
15,Hasaki,JP,35.7333,140.8333,-2.78,57,98,4.17,overcast clouds
16,Busselton,AU,-33.65,115.3333,12.83,81,1,4.94,clear sky
17,Marfino,RU,55.7028,37.3822,-4.91,85,75,6.0,broken clouds
18,Souillac,MU,-20.5167,57.5167,25.76,88,75,0.51,broken clouds
19,Iqaluit,CA,63.7506,-68.5145,-32.95,74,75,0.0,broken clouds
20,Dutse,NG,11.7594,9.3392,18.68,21,78,4.21,broken clouds
21,Jamestown,US,42.097,-79.2353,-1.23,28,100,4.47,overcast clouds
22,Butaritari,KI,3.0707,172.7902,27.99,77,35,7.44,scattered clouds
23,Mataura,NZ,-46.1927,168.8643,18.05,55,100,1.31,overcast clouds
24,Sitka,US,57.0531,-135.33,3.94,87,100,0.0,overcast clouds
25,Dudinka,RU,69.4058,86.1778,-11.32,88,100,11.46,overcast clouds
26,Ilulissat,GL,69.2167,-51.1,-14.99,56,75,3.09,broken clouds
27,Constitucion,CL,-35.3333,-72.4167,16.89,69,81,8.12,broken clouds
28,Atuona,PF,-9.8,-139.0333,25.93,78,86,9.45,light rain
29,Bredasdorp,ZA,-34.5322,20.0403,16.62,82,44,1.03,scattered clouds
30,Barrow,US,71.2906,-156.7887,-27.99,69,40,2.06,haze
31,Clyde River,CA,70.4692,-68.5914,-21.87,77,75,9.77,haze
32,Mangai,CD,-4.05,19.5333,21.07,98,100,1.07,moderate rain
33,Alofi,NU,-19.0595,-169.9187,28.94,61,44,4.63,scattered clouds
34,Acapulco,MX,16.8634,-99.8901,28.9,65,40,3.6,scattered clouds
35,Saint-Louis,SN,16.3333,-15.0,24.8,18,79,5.56,broken clouds
36,Srednekolymsk,RU,67.45,153.6833,-40.19,98,44,3.09,scattered clouds
37,Onda,ES,39.9667,-0.25,8.36,79,0,2.54,clear sky
38,Hofn,IS,64.2539,-15.2082,-1.8,93,100,3.65,light snow
39,Qui Nhon,VN,13.7667,109.2333,21.55,91,77,3.49,broken clouds
40,Bowen,AU,-20.0167,148.2333,29.2,67,76,3.31,broken clouds
41,Ushuaia,AR,-54.8,-68.3,4.81,70,75,7.72,broken clouds
42,Russkaya Polyana,UA,49.417,31.9201,-2.7,83,23,3.63,few clouds
43,La Paz Centro,NI,12.34,-86.6753,32.92,43,2,3.93,clear sky
44,Mandalgovi,MN,45.7625,106.2708,-13.85,60,0,5.03,clear sky
45,Grand-Santi,GF,4.25,-54.3833,23.59,92,84,1.38,broken clouds
46,Kodiak,US,57.79,-152.4072,-2.27,64,0,2.57,clear sky
47,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,-17.14,96,99,2.81,overcast clouds
48,Bethel,US,41.3712,-73.414,-0.83,77,100,1.34,overcast clouds
49,Narsaq,GL,60.9167,-46.05,3.12,84,100,3.48,overcast clouds
50,Flinders,AU,-34.5833,150.8552,26.56,81,16,1.34,few clouds
51,Gat,IL,31.61,34.7642,8.0,100,87,2.72,overcast clouds
52,Necochea,AR,-38.5473,-58.7368,19.46,76,91,9.59,overcast clouds
53,Pokhara,NP,28.2333,83.9833,10.73,34,54,1.9,broken clouds
54,Puerto Ayora,EC,-0.7393,-90.3518,28.98,78,100,4.74,overcast clouds
55,Ferrol,ES,43.4832,-8.2369,11.98,76,71,3.04,broken clouds
56,Saint George,US,37.1041,-113.5841,17.42,35,0,0.89,clear sky
57,Vaini,TO,-21.2,-175.2,26.73,82,30,5.76,scattered clouds
58,Cayenne,GF,4.9333,-52.3333,27.02,84,20,3.13,few clouds
